samsung|SAMSUNG-SGH-I337|jflteatt|5.0.1
motorola|XT1526|surnia_cdma|5.0.2
samsung|SAMSUNG-SM-G900A|klteatt|5.0
samsung|SM-N910V|trltevzw|5.0.1
LGE|VS985 4G|g3|5.0.1
LGE|LG-E980|e980|5.1
motorola|XT1032|falcon_umts|5.1
HTC|HTC One 801e|m7|5.0.2
Sony|SGP521|SGP521|5.0.2
motorola|Moto G 2014|titan_umtsds|5.1
samsung|SM-G925F|zerolte|5.0.2
asus|ASUS_Z008D|Z008_1|5.0
Sony|D6653|D6653|5.0.2
Sony|D5503|D5503|5.0.2
asus|Nexus 7|tilapia|5.1
Sony|D6503|D6503|5.0.2
samsung|SM-G920T|zerofltetmo|5.0.2
samsung|SM-G935T|hero2qltetmo|6.0.1
samsung|SM-T800|chagallwifi|5.0.2
motorola|MotoE2(4G-LTE)|surnia_uds|5.0.2
samsung|SM-N900V|hltevzw|5.0
LGE|LG-D838|b1w|5.0.1
Sony|D6603|D6603|5.0.2
samsung|SM-G900MD|klte|5.0
samsung|SAMSUNG-SM-N915A|tblteatt|5.0.1
samsung|SM-G920F|zeroflte|5.0.2
samsung|SM-N900W8|hltecan|5.0
samsung|SM-G920V|zerofltevzw|5.0.2
samsung|GT-I9506|ks01lte|5.0.2
Sony|D6633|D6633|5.0.2
samsung|SM-G925I|zerolte|5.0.2
asus|Nexus 7|flo|5.1
LGE|Nexus 4|mako|5.1
HTC|One S|ville|5.1.1
HTC|HTC6535LVW|htc_himawl|5.0.2
samsung|SM-N900P|hltespr|5.0
asus|Nexus 7|deb|5.1
samsung|SM-G920I|zeroflte|5.0.2
samsung|SAMSUNG-SM-N900A|hlteatt|5.0
asus|ASUS_Z00AD|Z00A|5.0
samsung|SM-S765C|heat3gtfnvzw|5.1
LGE|LG-H811|p1|5.1
asus|Nexus 7|grouper|5.1.1
Sony|D5833|D5833|5.0.2
samsung|GT-I9082|baffin|5.1.1
LGE|LGUS990|g3|5.0.1
samsung|SM-G900FQ|klte|5.0
HTC|One X|endeavoru|5.1.1
Sony|C6903|C6903|5.0.2
samsung|SM-G9250|zerolte|5.0.2
HTC|HTC One M9|htc_himauhl|5.0.2
samsung|GT-I9295|jactivelte|5.0.1
samsung|GT-I9505|jfltexx|5.1.1
samsung|GT-N7000|GT-N7000|5.1.1
samsung|SM-N910T|trltetmo|5.0.1
samsung|SM-G925T|zeroltetmo|5.0.2
samsung|GT-N7100|t03g|5.1
samsung|GT-I9301I|s3ve3g|5.0.2
Sony|Xperia Z1 Compact|amami|5.1.1
HTC|HTC One_M8|htc_m8|5.1
asus|Nexus 7|flo|5.1.1
Sony|C6802|C6802|5.0.2
LGE|LG-F460K|tiger6|5.0.1
